date,tv_spend,search_spend,social_spend,email_spend,print_spend,sales,competitor_activity,economic_factor,events,week_of_year,month,quarter,total_spend
2022-05-29,14928.56,5951.45,2661.42,1469.65,3253.32,15457.16,-409.09,235.78,0.0,21,5,2,28264.4
2022-06-05,11218.06,5275.59,3487.56,1476.63,3731.76,17088.01,-4045.33,442.17,0.0,22,6,2,25189.600000000006
2022-06-12,11079.96,5778.13,2926.47,1901.3,3985.87,13542.02,-81.44,185.05,0.0,23,6,2,25671.73
2022-06-19,11159.09,5721.82,2587.25,2102.75,2792.49,13952.59,-346.4,322.87,0.0,24,6,2,24363.4
2022-06-26,9953.4,5402.36,2839.31,2145.19,3275.49,20433.34,1044.31,1280.75,5000.0,25,6,2,23615.75
2022-07-03,8296.86,6829.25,3206.47,1869.42,3668.27,12925.04,2773.43,216.05,0.0,26,7,3,23870.27
2022-07-10,9308.99,6103.37,2718.14,2394.46,3414.81,15733.53,1689.85,1937.98,0.0,27,7,3,23939.77
2022-07-17,7582.33,4802.96,7588.89,2271.87,3567.65,14969.81,-403.33,794.28,0.0,28,7,3,25813.7
2022-07-24,8542.58,5937.89,8121.84,2771.73,3255.7,14107.39,-1659.79,561.29,0.0,29,7,3,28629.74
2022-07-31,6602.62,5542.89,8122.48,2795.03,3443.45,14136.81,3860.04,-42.98,0.0,30,7,3,26506.469999999998
2022-08-07,8561.88,6329.13,7746.53,2592.15,3351.36,17222.47,88.83,650.46,0.0,31,8,3,28581.05
2022-08-14,5763.01,5535.78,7764.48,2707.38,3728.98,14016.02,20.89,-75.93,0.0,32,8,3,25499.63
2022-08-21,5809.86,5903.8,8116.02,2598.75,3435.55,13744.5,-36.19,182.71,0.0,33,8,3,25863.98
2022-08-28,6588.61,6242.78,7275.96,2769.45,3441.09,15577.35,297.13,1310.54,0.0,34,8,3,26317.89
2022-09-04,4250.21,6452.3,7296.27,2917.64,3196.83,13915.26,-216.54,-108.99,0.0,35,9,3,24113.25
2022-09-11,5481.69,5448.4,7640.78,2451.18,3154.69,15233.96,-860.49,422.72,0.0,36,9,3,24176.739999999998
2022-09-18,6405.08,5910.42,7893.28,2653.13,3151.79,14378.63,-820.29,-593.18,0.0,37,9,3,26013.7
2022-09-25,3407.05,5869.32,8155.45,2338.84,3380.47,17978.32,-49.13,-346.74,5000.0,38,9,3,23151.13
2022-10-02,5189.87,5809.26,3737.68,2174.38,3116.42,13815.15,-815.14,471.25,0.0,39,10,4,20027.61
2022-10-09,5330.07,7047.78,3428.83,2202.32,3310.23,13012.9,-1069.27,-809.07,0.0,40,10,4,21319.23
2022-10-16,5990.26,6396.67,2920.03,1917.2,3826.5,13251.17,159.65,333.34,0.0,41,10,4,21050.66
2022-10-23,4180.96,5592.86,2990.49,1930.26,3445.8,13273.89,-382.47,-291.5,0.0,42,10,4,18140.37
2022-10-30,4375.06,6711.36,2498.74,1739.89,3067.24,12978.04,2255.99,-993.71,0.0,43,10,4,18392.29
2022-11-06,6559.05,7342.63,2990.74,2336.84,3506.0,13019.17,-3976.45,-457.41,0.0,44,11,4,22735.26
2022-11-13,6734.59,6826.91,2855.67,1944.0,3003.79,12103.76,1637.26,-342.0,0.0,45,11,4,21364.96
2022-11-20,7141.57,5580.12,3161.36,1819.68,2495.36,11747.33,1869.13,-565.11,0.0,46,11,4,20198.09
2022-11-27,7737.21,6126.82,2586.38,2053.95,2784.95,14095.33,-3110.09,-1701.53,0.0,47,11,4,21289.31
2022-12-04,7249.21,7031.51,3259.67,2066.59,2506.72,13773.62,-514.03,-1312.72,0.0,48,12,4,22113.7
2022-12-11,8730.74,6073.35,3766.37,2145.09,2943.09,10859.45,-557.16,-1097.71,0.0,49,12,4,23658.64
2022-12-18,9383.14,6678.22,2945.62,2429.32,3034.65,12258.25,-2111.27,-1027.81,0.0,50,12,4,24470.95
2022-12-25,8980.83,6872.75,3200.86,2585.8,3512.64,17841.39,-1166.73,-688.62,5000.0,51,12,4,25152.879999999997
2023-01-01,12170.59,6051.1,3345.07,2459.6,3088.37,12103.4,-1665.86,-910.1,0.0,52,1,1,27114.73
2023-01-08,11383.76,6513.93,2799.39,2578.35,2905.14,11511.14,2628.41,-1658.27,0.0,1,1,1,26180.57
2023-01-15,10310.21,4952.18,3112.05,2755.7,3200.28,11713.16,1403.52,-783.85,0.0,2,1,1,24330.42
2023-01-22,12727.32,6089.75,3006.3,2450.56,2268.7,10905.54,1907.33,-643.86,0.0,3,1,1,26542.63
2023-01-29,11634.56,6504.78,3048.84,2685.81,2983.31,10639.18,1082.51,-636.52,0.0,4,1,1,26857.300000000003
2023-02-05,13896.01,6036.3,2613.5,3313.75,3124.46,12092.71,-1693.58,-335.62,0.0,5,2,1,28984.02
2023-02-12,14720.99,7505.53,3012.26,3392.04,2430.21,11822.77,-786.78,-411.32,0.0,6,2,1,31061.03
2023-02-19,13142.21,6003.38,3249.0,3006.3,3197.5,11274.86,734.06,-544.02,0.0,7,2,1,28598.39
2023-02-26,15267.86,6527.55,3725.57,3135.84,2936.5,11398.18,-1833.19,-747.56,0.0,8,2,1,31593.32
2023-03-05,14994.87,6842.07,3479.64,3021.26,2690.95,10168.5,1069.5,-1475.86,0.0,9,3,1,31028.790000000005
2023-03-12,15613.62,7526.46,4076.59,3491.53,2985.95,10736.44,-360.49,-358.07,0.0,10,3,1,33694.15
2023-03-19,16826.6,6117.02,2616.33,3000.19,3457.91,10218.06,-562.23,-391.75,0.0,11,3,1,32018.049999999996
2023-03-26,14749.38,7445.66,3436.16,2641.46,2811.84,10264.52,1066.44,-278.36,0.0,12,3,1,31084.5
2023-04-02,14231.73,6898.32,3091.67,2364.0,2812.33,10343.07,666.39,-967.62,0.0,13,4,2,29398.050000000003
2023-04-09,14012.54,6431.58,4094.9,2126.39,2580.64,10491.29,-541.45,-782.12,0.0,14,4,2,29246.050000000003
2023-04-16,13929.96,7182.51,2595.85,2392.37,2444.08,9813.63,1738.99,374.66,0.0,15,4,2,28544.769999999997
2023-04-23,14441.83,7080.11,2580.14,2122.12,2928.71,10793.58,-1621.59,-80.74,0.0,16,4,2,29152.909999999996
2023-04-30,14566.06,6709.6,2700.3,1933.56,2403.37,9283.18,923.9,371.25,0.0,17,4,2,28312.89
2023-05-07,14144.76,7073.74,1938.05,2060.09,2662.25,9809.71,889.65,135.86,0.0,18,5,2,27878.89
2023-05-14,14280.92,6875.3,2737.12,1973.53,2478.06,11470.87,-464.32,226.77,0.0,19,5,2,28344.93
2023-05-21,13001.06,7153.85,2620.43,2557.3,2745.64,10046.08,489.2,769.44,0.0,20,5,2,28078.28
2023-05-28,13931.49,7457.28,3075.2,2454.62,2682.62,11144.05,-1876.67,128.18,0.0,21,5,2,29601.21
2023-06-04,11666.36,7948.35,3170.88,2360.61,2874.37,7655.03,1386.04,516.93,0.0,22,6,2,28020.57
2023-06-11,14075.54,6565.56,3938.09,2763.22,2390.68,10717.83,-277.35,316.48,0.0,23,6,2,29733.090000000004
2023-06-18,11385.24,8280.11,3475.21,2603.19,2443.31,15649.08,-784.08,404.54,5000.0,24,6,2,28187.059999999998
2023-06-25,9295.32,6266.67,2711.55,2544.83,2211.23,10284.16,1573.51,536.16,0.0,25,6,2,23029.600000000002
2023-07-02,8472.23,7195.95,2550.79,3152.9,2352.15,10282.96,-1056.52,865.0,0.0,26,7,3,23724.020000000004
2023-07-09,9423.03,7595.13,3245.96,3081.85,2579.21,9717.08,-2112.69,571.43,0.0,27,7,3,25925.179999999997
2023-07-16,8130.28,7470.59,2339.88,2880.14,2673.7,11174.39,-2334.94,1488.78,0.0,28,7,3,23494.59
2023-07-23,8505.41,7047.87,8915.73,3144.63,2150.53,10716.29,909.01,456.48,0.0,29,7,3,29764.17
2023-07-30,7735.14,7284.29,8589.72,3079.2,2668.65,11561.26,-1920.64,845.68,0.0,30,7,3,29357.000000000004
2023-08-06,6700.27,7170.98,7765.41,3022.25,2795.04,9396.59,2632.19,746.72,0.0,31,8,3,27453.95
2023-08-13,5485.48,7151.92,7143.43,3499.32,2492.96,11749.52,-3122.89,1709.45,0.0,32,8,3,25773.11
2023-08-20,4431.12,7900.53,3676.94,3681.7,2912.55,9696.01,2544.68,1095.37,0.0,33,8,3,22602.84
2023-08-27,5173.42,7683.36,7942.73,2977.73,2097.96,11036.89,316.53,1515.81,0.0,34,8,3,25875.199999999997
2023-09-03,6215.42,7187.53,8618.91,3302.63,1937.28,10736.08,-145.07,251.53,0.0,35,9,3,27261.77
2023-09-10,5381.19,8012.91,7202.79,2972.04,1757.65,11539.83,-817.38,1113.94,0.0,36,9,3,25326.58
2023-09-17,3801.28,7745.88,7700.31,2902.19,2720.66,10728.29,598.7,1403.13,0.0,37,9,3,24870.32
2023-09-24,5173.76,8027.79,3002.62,2770.56,2448.74,16292.02,-56.45,969.34,5000.0,38,9,3,21423.47
2023-10-01,5413.78,7965.3,3023.49,2604.75,2216.33,11060.97,1654.95,1423.05,0.0,39,10,4,21223.65
2023-10-08,4246.4,7265.11,2774.97,2682.05,2297.58,11427.0,171.34,586.34,0.0,40,10,4,19266.11
2023-10-15,5458.17,7428.65,3311.42,2414.03,1856.53,10688.57,225.45,1497.25,0.0,41,10,4,20468.8
2023-10-22,5606.64,8111.51,7466.19,2561.31,2908.48,11848.21,-545.42,1882.99,0.0,42,10,4,26654.13
2023-10-29,4715.64,8072.18,7928.81,2448.18,2194.11,11215.13,-85.42,486.96,0.0,43,10,4,25358.920000000002
2023-11-05,6588.13,7785.67,8060.15,2388.95,2168.74,12799.95,461.7,374.86,0.0,44,11,4,26991.64
2023-11-12,7218.91,7883.91,8257.22,2263.08,2334.23,13361.64,-2565.25,1248.54,0.0,45,11,4,27957.350000000002
2023-11-19,8218.64,8493.2,3355.81,2366.55,2241.39,12922.15,-2022.28,1231.5,0.0,46,11,4,24675.59
2023-11-26,8709.44,7587.71,2437.68,2698.1,2144.84,12963.87,1114.9,96.46,0.0,47,11,4,23577.77
2023-12-03,6832.86,8186.17,2232.94,2736.87,1821.11,10836.47,256.3,60.98,0.0,48,12,4,21809.949999999997
2023-12-10,7854.21,7840.65,3638.84,2550.63,2180.28,11158.94,-275.98,41.09,0.0,49,12,4,24064.61
2023-12-17,9906.53,7862.03,3166.16,2889.36,2584.02,17789.29,27.65,-580.85,5000.0,50,12,4,26408.100000000002
2023-12-24,10513.79,8549.39,2625.76,3150.28,2403.63,12011.17,521.37,-459.33,0.0,51,12,4,27242.850000000002
